Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
45,2.0,0.0,0.0,371.0,5.0,120.0,2322.0,0.1,83.60499999999999,0.0,0.0,549.6083240509033,,,,,,,,,,,,,,,,,,,,,38.11132737498013,25.082479333472968,79.18994140787674,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,463.0,6.0,92.0,2414.0,0.1,56.40600000000001,0.0,0.0,558.981442451477,,,,,,,,,,,,,,,,,,,,,21.208448372118898,16.775800595570196,54.563895977824735,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,502.0,7.0,39.0,2453.0,0.1,13.30899999999999,0.0,0.0,563.0500915050507,,,,,,,,,,,,,,,,,,,,,3.299441781450588,4.141601311751133,13.206722007817058,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,587.0,8.0,85.0,2538.0,0.1,57.90999999999999,0.0,0.0,571.6218497753143,,,,,,,,,,,,,,,,,,,,,21.65344623609504,18.582761734560652,56.18176441700152,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,692.0,9.0,105.0,2643.0,0.1,54.909000000000006,0.0,0.0,581.979573726654,,,,,,,,,,,,,,,,,,,,,20.902873041432162,17.102432904889604,52.819785081026595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,724.0,10.0,32.0,2675.0,0.1,15.206999999999994,0.0,0.0,585.3974087238312,,,,,,,,,,,,,,,,,,,,,4.524190734512737,5.180370465739508,15.09239559529058,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,753.0,11.0,29.0,2704.0,0.1,10.806999999999993,0.0,0.0,588.6953687667847,,,,,,,,,,,,,,,,,,,,,2.899314459470541,3.556830221043994,10.744397932141709,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,882.0,12.0,129.0,2833.0,0.1,76.20699999999985,0.0,0.0,601.8571214675903,,,,,,,,,,,,,,,,,,,,,27.46120632828816,22.122314378329545,72.81005167695304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,910.0,13.0,28.0,2861.0,0.1,13.006999999999994,0.0,0.0,604.8435251712799,,,,,,,,,,,,,,,,,,,,,3.8978152804366624,4.48101369534529,12.9236956397316,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,966.0,14.0,56.0,2917.0,0.1,31.80700000000002,0.0,0.0,610.5571396350861,,,,,,,,,,,,,,,,,,,,,12.017116258487649,10.34527989568658,31.19640309932024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
