Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
49,2.0,0.0,0.0,1354.0,9.0,61.0,7203.0,0.1,46.01399999999997,0.0,0.0,1669.1611790657043,,,,,,,,,,,,,,,,,,,,,18.20720843359588,15.271665580806921,44.99330189604085,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,1389.0,10.0,35.0,7238.0,0.1,25.00900000000001,0.0,0.0,1672.6767921447754,,,,,,,,,,,,,,,,,,,,,9.92477987501447,8.60821792030225,24.71103005345135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,1577.0,11.0,188.0,7426.0,0.1,179.00800000000004,0.0,0.0,1691.088398218155,,,,,,,,,,,,,,,,,,,,,81.70289240634692,49.5928258471273,163.97564353904144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,1795.0,12.0,218.0,7644.0,0.1,209.00800000000004,0.0,0.0,1712.1415560245514,,,,,,,,,,,,,,,,,,,,,94.90425848642202,56.74394045960499,188.69607510409335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,1849.0,13.0,54.0,7698.0,0.1,45.00799999999998,0.0,0.0,1717.721922159195,,,,,,,,,,,,,,,,,,,,,19.710295972208996,14.496445151557628,44.03166331246233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,2239.0,14.0,390.0,8088.0,0.1,380.0089999999998,0.0,0.0,1755.099996805191,,,,,,,,,,,,,,,,,,,,,165.04232146614174,93.7705685900981,316.27472780909505,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,2766.0,15.0,527.0,8615.0,0.1,493.0329999999992,0.0,0.0,1805.9221448898315,,,,,,,,,,,,,,,,,,,,,204.7983059023084,110.86891321966505,385.87565823028564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,3247.0,16.0,481.0,9096.0,0.1,454.0259999999994,0.0,0.0,1852.3168909549713,,,,,,,,,,,,,,,,,,,,,186.7482073698053,110.93503936437149,364.929606538594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,3701.0,17.0,454.0,9550.0,0.1,442.01099999999974,0.0,0.0,1896.0281562805176,,,,,,,,,,,,,,,,,,,,,187.9425483205441,106.09080677856555,357.3995247123726,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,4082.0,18.0,381.0,9931.0,0.1,373.00699999999983,0.0,0.0,1932.7416338920593,,,,,,,,,,,,,,,,,,,,,163.15365474056048,91.87754163649578,311.46808224024466,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,4347.0,19.0,265.0,10196.0,0.1,253.01100000000005,0.0,0.0,1958.1547684669495,,,,,,,,,,,,,,,,,,,,,112.5251169448463,67.53764731872778,223.6388981670519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,4817.0,20.0,470.0,10666.0,0.1,449.01999999999987,0.0,0.0,2003.0530285835266,,,,,,,,,,,,,,,,,,,,,193.83429710498675,105.69257308018369,358.6347913084814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,373.0,1.0,373.0,11039.0,0.1,363.0089999999998,0.0,0.0,2834.548985719681,,,,,,,,,,,,,,,,,,,,,158.36907597799663,90.39685710094606,304.54612235880256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,716.0,2.0,343.0,11382.0,0.1,335.00699999999983,0.0,0.0,2867.7672233581543,,,,,,,,,,,,,,,,,,,,,148.07432828048272,84.20482994818677,284.78679420140315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,892.0,3.0,176.0,11558.0,0.1,163.01200000000006,0.0,0.0,2885.375267982483,,,,,,,,,,,,,,,,,,,,,72.86699410900646,46.50970480175719,150.48823501861722,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,930.0,4.0,38.0,11596.0,0.1,30.00700000000001,0.0,0.0,2889.0652401447296,,,,,,,,,,,,,,,,,,,,,12.903069116994743,10.004807174852148,29.57580540856593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,1127.0,5.0,197.0,11793.0,0.1,190.00600000000003,0.0,0.0,2908.1668429374695,,,,,,,,,,,,,,,,,,,,,87.45000496127535,51.76866149044648,173.12442474769963,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,1455.0,6.0,328.0,12121.0,0.1,319.0079999999998,0.0,0.0,2939.8601343631744,,,,,,,,,,,,,,,,,,,,,141.18283551623537,81.13647893785738,273.24624920283145,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,1558.0,7.0,103.0,12224.0,0.1,90.01200000000006,0.0,0.0,2949.8960452079773,,,,,,,,,,,,,,,,,,,,,39.44932932281187,27.589749203777068,86.12087470829226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,1684.0,8.0,126.0,12350.0,0.1,116.00900000000004,0.0,0.0,2962.617875814438,,,,,,,,,,,,,,,,,,,,,52.72714475449981,34.00002931192961,109.58443905460322,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,2009.0,9.0,325.0,12675.0,0.1,303.02099999999984,0.0,0.0,2993.700787782669,,,,,,,,,,,,,,,,,,,,,134.25798142127522,75.50099143882147,259.9067095504771,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,2060.0,10.0,51.0,12726.0,0.1,45.00499999999999,0.0,0.0,2998.9791622161865,,,,,,,,,,,,,,,,,,,,,20.86668721648087,14.082530111957846,44.028812548243415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,2084.0,11.0,24.0,12750.0,0.1,17.006000000000007,0.0,0.0,3001.5862741470337,,,,,,,,,,,,,,,,,,,,,7.048439255488717,5.975815527734257,16.870561710728023,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,2514.0,12.0,430.0,13180.0,0.1,421.0079999999998,0.0,0.0,3042.750858783722,,,,,,,,,,,,,,,,,,,,,181.25996510980872,101.41069242363051,343.75337800541473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,3247.0,13.0,733.0,13913.0,0.1,726.0059999999999,0.0,0.0,3114.696191072464,,,,,,,,,,,,,,,,,,,,,287.4488844259651,150.14374624110405,516.3381276329052,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,3484.0,14.0,237.0,14150.0,0.1,215.0210000000001,0.0,0.0,3137.5481140613556,,,,,,,,,,,,,,,,,,,,,97.32584640992337,56.030377888816446,192.33926058275333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,3594.0,15.0,110.0,14260.0,0.1,102.00700000000003,0.0,0.0,3148.1505727767944,,,,,,,,,,,,,,,,,,,,,47.0737664025839,29.948726648070863,97.0228343415646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,4330.0,16.0,736.0,14996.0,0.1,735.0,0.0,0.0,3219.213777780533,,,,,,,,,,,,,,,,,,,,,292.6222508003638,149.69332643941792,520.6708444289452,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,4400.0,17.0,70.0,15066.0,0.1,63.005999999999986,0.0,0.0,3226.0234158039093,,,,,,,,,,,,,,,,,,,,,29.091152527352516,19.26647384921503,61.09174171477315,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
